zh	en
Transformer模型	Transformer Model
转移	Transition
转移核	Transition Kernel
状态转移矩阵	Transition Matrix
转移概率	Transition Probability
转置	Transpose
转置卷积	Transposed Convolution
树结构的长短期记忆模型	Tree-Structured LSTM
树库	Treebank
试验	Trial
试错	Trial And Error
三角不等式	Triangle Inequality
三角循环学习率	Triangular Cyclic Learning Rate
三角形化	Triangulate
三角形化图	Triangulated Graph
三元语法	Trigram
真负例	True Negative
真正例	True Positive
真正例率	True Positive Rate
截断奇异值分解	Truncated Singular Value Decomposition
截断误差	Truncation Error
图灵完备	Turing Completeness
图灵机	Turing Machine
二次学习	Twice-Learning
二维数组	Two-Dimensional Array
丑小鸭定理	Ugly Duckling Theorem
无偏	Unbiased
无偏估计	Unbiased Estimate
无偏样本方差	Unbiased Sample Variance
无约束优化	Unconstrained Optimization
欠完备	Undercomplete
欠定的	Underdetermined
欠估计	Underestimation
欠拟合	Underfitting
欠拟合机制	Underfitting Regime
下溢	Underflow
潜在	Underlying
潜在成因	Underlying Cause
欠采样	Undersampling
可理解性	Understandability
无向	Undirected
无向图	Undirected Graph
无向图模型	Undirected Graphical Model
无向模型	Undirected Model
非均等代价	Unequal Cost
展开图	Unfolded Graph
展开	Unfolding
单向语言模型	Unidirectional Language Model
合一	Unification
均匀分布	Uniform Distribution
均匀采样	Uniform Sampling
均匀稳定性	Uniform Stability
一元语法	Unigram
单峰值	Unimodal
单元	Unit
单位范数	Unit Norm
单元测试	Unit Test
单位方差	Unit Variance
单位向量	Unit Vector
单位阶跃函数	Unit-Step Function
酉矩阵	Unitary Matrix
单变量决策树	Univariate Decision Tree
通用近似定理	Universal Approximation Theorem
通用近似器	Universal Approximator
通用函数近似器	Universal Function Approximator
未知词元	Unknown Token
未标记	Unlabeled
未规范化概率函数	Unnormalized Probability Function
反投影	Unprojection
非共享卷积	Unshared Convolution
无监督	Unsupervised
无监督特征学习	Unsupervised Feature Learning
无监督逐层训练	Unsupervised Layer-Wise Training
无监督学习算法	Unsupervised Learning Algorithm
无监督学习	Unsupervised Learning
无监督预训练	Unsupervised Pretraining
更新门	Update Gate
迭代模型参数	Update Model Parameter
上置信界限	Upper Confidence Bounds
上采样	Upsampling
V型结构	V-Structure
有效	Valid
验证集	Validation Set
有效性指标	Validity Index
价值函数	Value Function
值函数近似	Value Function Approximation
值迭代	Value Iteration
梯度消失与爆炸问题	Vanishing And Exploding Gradient Problem
梯度消失	Vanishing Gradient
梯度消失问题	Vanishing Gradient Problem
VC维	Vapnik-Chervonenkis Dimension
变量消去	Variable Elimination
方差	Variance
方差减小	Variance Reduction
方差缩放	Variance Scaling
变分自编码器	Variational Autoencoder
变分贝叶斯	Variational Bayesian
变分导数	Variational Derivative
变分分布	Variational Distribution
变分暂退法	Variational Dropout
变分EM算法	Variational EM Algorithm
变分自由能	Variational Free Energy
变分推断	Variational Inference
向量	Vector
向量空间	Vector Space
向量空间模型	Vector Space Model
向量化	Vectorization
版本空间	Version Space
虚拟对抗样本	Virtual Adversarial Example
虚拟对抗训练	Virtual Adversarial Training
可见层	Visible Layer
可见变量	Visible Variable
维特比算法	Viterbi Algorithm
词表	Vocabulary
冯 · 诺伊曼架构	Von Neumann Architecture
投票感知器	Voted Perceptron
醒眠	Wake Sleep
线程束	Warp
Wasserstein距离	Wasserstein Distance
Wasserstein生成对抗网络	Wasserstein GAN
弱分类器	Weak Classifier
弱对偶性	Weak Duality
弱学习器	Weak Learner
弱可学习	Weakly Learnable
弱监督学习	Weakly Supervised Learning
权重	Weight
权重衰减	Weight Decay
权重规范化	Weight Normalization
权重比例推断规则	Weight Scaling Inference Rule
权共享	Weight Sharing
权重空间对称性	Weight Space Symmetry
权值向量	Weight Vector
加权距离	Weighted Distance
加权投票	Weighted Voting
白化	Whitening
宽卷积	Wide Convolution
宽度	Width
胜者通吃	Winner-Take-All
类内散度矩阵	Within-Class Scatter Matrix
词嵌入	Word Embedding
词义消歧	Word Sense Disambiguation
词向量	Word Vector
单词向量空间模型	Word Vector Space Model
单词-文本矩阵	Word-Document Matrix
单词-话题矩阵	Word-Topic Matrix
工作记忆	Working Memory
包裹式方法	Wrapper Method
Z值规范化	Z-Score Normalization
零均值	Zero Mean
零填充	Zero Padding
零张量	Zero Tensor
零中心化的	Zero-Centered
零数据学习	Zero-Data Learning
零试学习	Zero-Shot Learning
齐普夫定律	Zipf's Law
ε-贪心法	ε-Greedy Method
二维定量构效关系模型	2D Qsar Models
三维笛卡尔（坐标）	3D Cartesian
三维构象	3D Conformation
三维（坐标）网格	3D Grids
三维定量构效关系模型	3D Qsar Models
像差矫正	Aberration-Corrected
主动机器学习	Active Machine Learning
自适应模糊神经网络	Adaptive Fuzzy Neural Network
自适应采样	Adaptive Sampling
毒性评估	Admet Evaluation
阿尔法狗	Alphago
自适应神经模糊推理系统	Adaptive Neuro Fuzzy Inference System
近似概率模型	Approximate Probabilistic Models
人工神经元	Artificial Neurons
人工突触	Artificial Synapses
基于注意力（机制）的	Attention-Based
自动化综合规划	Automating Synthetic Planning
自动化	Automation
自主决策	Autonomous Decision-Making
B树聚类算法	B-Clustering Algorithms
平衡精度	Balanced Accuracy
带隙能量	Bandgap Energy
基准测试	Baseline Test
盆地跳跃（算法）	Basin Hopping
贝叶斯方法	Bayesian Approach
贝叶斯归纳	Bayesian Induction
贝叶斯马尔可夫链蒙特卡洛方法	Bayesian Mcmc Methods
贝叶斯方法	Bayesian Methods
贝叶斯分子（设计方法）	Bayesian Molecular
贝叶斯先验	Bayesian Prior
贝叶斯程序学习	Bayesian Program Learning
贝叶斯正则化神经网络	Bayesian Regularized Neural Network
波束扫描	Beam-Scanning
最优分离	Best Separates
有偏数据集	Biased Dataset
字节碰撞/冲突	Bit Collisions
黑盒子	Black Box
黑盒攻击	Black-Box Attack
成键环境	Bonding Environments
邦弗朗尼校正	Bonferroni Correction
引导聚合	Bootstrap Aggregation
BFGS（算法）	Broyden–Fletcher–Goldfarb–Shanno
Buchwald–Hartwig 偶联（反应）	Buchwald−Hartwig Cross-Coupling
C4.5 算法	C4.5 Algorithm
计算不确定性	Calculation Uncertainties
经典机器学习方法	Canonical Ml Methods
笛卡尔距离向量	Cartesian Distance Vector
国际蛋白质结构预测竞赛	CASP
分类数据	Categorical Data
分类算法	Categorization Algorithms
化学数据提取器	ChemDataExtractor
卡方（分布）	Chi-Squared
分类模型	Classification Model
聚类分辨率特征选择	Cluster Resolution Feature Selection
基于聚类的分离方法	Cluster-Based Splitting
聚类方法	Clustering Methods
代码流水线	Code Pipeline
决定系数	Coefficient of Determination
组合梯度（算法）	Combined Gradient
复合数据	Complex Data
计算成本	Computational Cost
计算优化	Computational Optimisation
计算科学	Computational Science
计算毒理学	Computational Toxicology
计算机科学	Computer Science
计算机模拟	Computer Simulations
计算机辅助	Computer-Aided
约束	Constraint
（电子能量损失谱中的）高能区域	Core-Loss Spectrum
库仑矩阵	Coulomb Matrix
耦合簇预测	Coupled-Cluster Predictions
交叉验证的决定系数	Cross-Validated Coefficient of Determination
交叉验证	Cross-Validation
众包	Crowd-Sourcing
切点	Cut-Points
截断径向函数	Cutoff Radial Function
数据可用性	Data Availability
数据清洗	Data Cleaning
数据采集	Data Collection
数据注意事项	Data Considerations
数据监管	Data Curation
数据差异	Data Disparity
数据挖掘	Data Dredging
数据填补	Data Imputation
数据标签	Data Labels
数据泄露	Data Leakage
数据预处理	Data Pre-Processing
数据处理	Data Processing
数据质量	Data Quality
数据缩减	Data Reduction
数据表示	Data Representation
数据选择	Data Selection
数据源	Data Sources
数据拆分	Data Splitting
数据转换	Data Transformation
数据驱动	Data-Driven
数据驱动的决策	Data-Driven Decision-Making
数据驱动的方法	Data-Driven Methods
数据驱动的光谱分析	Data-Driven Spectral Analysis
数据挖掘	Data-Mining
数据库	Database
差分进化算法	DE Algorithm
DeepLift模型	Deeplift
树状图	Dendrogram
密度泛函理论	Density Functional Theory
DBSCAN密度聚类	Density-Based Spatial Clustering Of Applications With Noise
描述符	Descriptor
DFT计算	DFT Calculations
戴斯相似度	Dice Similarity
差分进化	Differential Evolution
降维	Dimensionality Reduction
正向神经网络建模	Direct Neural Network Modeling
离散方式	Discrete Manner
离散量子	Discrete Quanta
离散化	Discretization
蒸馏	Distillation
动态数据集	Dynamic Datasets
动态过滤网络	Dynamic Filter Networks
动态采样	Dynamic Sampling
动力学模拟	Dynamics Simulations
特征函数	Eigenfunction
电负性	Electronegativity
埃尔曼	Elman
经验模型	Empirical Models
能源衍生品	Energy Derivatives
能量潜力	Energy Potentials
集成方法	Ensemble Methods
实体规范化	Entity Normalisation
道德考虑	Ethical Considerations
欧几里得距离	Euclidean Distances
进化算法	Evolutionary Algorithms
进化方法	Evolutionary Method
交换关联（的能量/泛函）	Exchange–Correlation
激发态能量	Excited-State Potentials
符合预期的失真减少	Expected Reduction In Distortion
实验验证数据	Experimental Validation Data
专家系统	Expert Systems
扩展连接环形指纹	Extended-Connectivity Circular Fingerprint
提取技术	Extraction Techniques
面部识别	Facial Recognition
FAIR数据原则	FAIR Data Principles
假阴性	False Negatives
假阳性	False Positives
Fchl 表示	Fchl Representation
特征二值化	Feature Binarization
特征变换	Feature Transform
特征向量	Feature Vectors
特征	Features
反馈	Feed Back
前馈神经网络	Feed-Forward Neural Networks
反馈结构	Feedback Structure
最终评估	Final Evaluation
可查找、可访问、可互操作、可重用	Findable, Accessible, Interoperable, Reusable
第一性原理	First-Principles
流速	Flow Rate
前向交叉验证	Forward Cross-Validation
前向预测	Forward Prediction
前向反应预测	Forward Reaction Prediction
模糊逻辑	Fuzzy Logic
模糊神经网络	Fuzzy Neural Networks
基于遗传算法的方法	Ga-Based Approaches
无用数据入、无用数据出	Garbage In, Garbage Out
气相网络	Gas-Phase Networks
高斯核	Gaussian Kernels
高斯型结构描述符	Gaussian-Type Structure Descriptors
通用智能	General Intelligence
广义梯度近似	Generalized Gradient Approximation
生成对抗网络	Generative Adversarial Networks
梯度提升决策树	Gradient Boosting Decision Tree
基于梯度的	Gradient-Based
粒面网络	Grain-Surface Networks
图卷积	Graph Convolutional
图模型	Graph Models
图神经网络	Graph Neural Networks
基于图形	Graph-Based
基于图的模型	Graph-Based Models
基于图的神经网络	Graph-Based Neural Networks
基于图的表示	Graph-Based Representation
图卷积神经网络	Graph-Convolutional Neural Network
图形处理器	Graphics Processing Units
比重聚合度	Gravimetric Polymerization Degree
哈密顿矩阵	Hamiltonian Matrix
哈密顿算符	Hamiltonian Operator
异构数据	Heterogeneous Data
隐藏层	Hidden Layers
高数据吞吐量	High Data Throughput
高通量	High Throughput
高通量筛选	High Throughput Screening
高方差模型	High Variance Models
高维数据	High-Dimensional Data
高维神经网络	High-Dimensional NN
高维对象	High-Dimensional Objects
高通量	High-Throughput
高维空间	Higher-Dimensional Space
高维光谱空间	Higher-Dimensional Spectral Space
同质化	Homogenization
同态加密	Homomorphic Encryption
人脸识别	Human Face Recognition
人工编码的	Human-Encoded
混合模型	Hybrid Model
混合技术	Hybrid Technique
混合神经模型	Hybrid-Neural Model
超参数优化	Hyperparameter Opimization
超参数	Hyperparameters
超平面分离	Hyperplanes Separate
Id3 算法	Id3 Algorithm
图像和语音识别	Image And Speech Recognition
图像分类	Image Classification
图像分类器	Image Classifier
图像识别	Image Recognition
信息先验	Informative Priors
输入输出对	Input-Output Pairs
基于实例的	Instance-Based
智能机器	Intelligent Machine
中间神经元	Intermediate Neurons
物联网	Internet Of Things
插值坐标	Interpolation Coordinate
可解释性	Interpretability
逆神经建模	Inverse Neural Modeling
逆神经网络建模	Inverse Neural Network Modeling
迭代学习	Iterative Learning
联合分布	Joint Distribution
Jordan-Elman 神经网络	Jordan-Elman Neural Networks
K聚类	K Clusters
K 最近点	K Nearest Points
K-1 折	K-1 Folds
K-边缘（O-K 边缘）	K-Edge (O-K Edge)
K-均值	K-Means
肯德尔等级相关系数	Kendall’S Tau
核岭回归	Kernel Ridge Regression
内核	Kernels
动力学曲线	Kinetic Curve
K 近邻模型	KNN Model
知识提取	Knowledge Extraction
知识梯度	Knowledge Gradient
L1与L2正则化	L1 And L2 Regularization
实验室级别	Laboratory Level
语言处理	Language Processing
拉普拉斯先验	Laplacian Prior
大规模数据存储	Large-Scale Data Storage
激光器	Lasers
拉索回归	Lasso Regression
局部二值模式	LBP
Lasso回归	Least Absolute Shrinkage And Selection Operator
最小二乘支持向量机	Least Square Support Vector Machine
配位场	Ligand-Field
线性的	Linear
线性降维方法	Linear Dimension Reduction Methods
线性振子耦合模型	Linear Vibronic Coupling Model
本地卷积	Local Recurrent
LHASA 程序	Logic And Heuristics Applied To Synthetic Analysis
长期预测	Long-Range Prediction
长期预测模型	Long-Range Prediction Models
长期规划	Long-Term Planning
长期回报	Long-Term Reward
机器可读的数据	Machine-Readable Data
平均绝对误差	Mae
马氏距离	Mahalanobis Distances
矩阵	Matrices
马修斯相关系数	Matthews Correlation Coefficient
最大似然法	Maximum Likelihood Methods
最大似然估计法	Maximum Likelihood Procedures
蒙特卡洛树搜索方法	MCTS Method
均方误差	Mean-Squared Error
机械同感，软硬件协同编程	Mechanical Sympathy
合并	Merging
消息传递神经网络	Message Passing Neural Networks
微阵列数据	Microarray Data
小批次	Mini Batch
挖掘	Mining
挖掘	Mining Out
缺失值	Missing Values
机器学习算法	ML Algorithm
机器学习建模	ML Modelling
机器学习势能	ML Potentials
机器学习驱动的	ML-Driven
机器学习驱动的最优化	ML-Driven Optimization
多层感知机神经模型	MLP Neural Model
模型构建	Model Construction
模型评估	Model Evaluation
模型性能	Model Performance
模型统计	Model Statistics
模型训练	Model Training
模型验证	Model Validation
基于模型的迭代重建	Model-Based Iterative Reconstruction
模型构建	Model-Construction
建模场景	Modelling Scenario
分子图论	Molecular Graph Theory
分子建模	Molecular Modelling
蒙特卡洛树搜索	Monte Carlo Tree Search
摩尔定律	Moore’S Law
基于人工神经网络组合的结构生物学效应定量关系多尺度模型	ms-QSBER-EL Model
多智能体控制系统	Multi-Agent Control System
多核台式计算机	Multi-Core Desktop Computer
多维度大数据分析	Multi-Dimensional Big Data Analysis
多层前馈	Multi-Layer Feed-Forward
多目标遗传算法	Multi-Objective Genetic Algorithm
多目标优化	Multi-Objective Optimization
多反应合成	Multi-Reaction Synthesis
多层感知机	Multilayer Perceptron
多变量回归	Multivariate Regression
N维空间	N-Dimensional Space
朴素贝叶斯	Naive Bayesian
朴素贝叶斯方法	Naive Bayesian Methods
命名实体识别	Named Entity Recognition，NER
近邻	Nearest Neighbors
近邻模型	Nearest Neighbour Model
阴性预测值	Negative Predictive Value
网络结构	Network Architecture
网络几何	Network Geometry
神经图灵机	Neural Turing Machines
基于神经网络的函数	Neural-Network-Based Function
神经元	Neurons
核磁共振	Nuclear Magnetic Resonance
噪声过滤器	Noise Filters
无噪的	Noise-Free
非线性	Non-Linear
非线性相关	Non-Linear Correlation
非线性	Non-Linearity
非参数化学习算法	Non-Parametric Algorithm
非安全关键型应用	Non-Safety-Critical Applications
非稳态	Non-Steady-State
非随机的	Non-Stochastic
非模板	Non-Template
非模板方法	Non-Template Methods
非零权重	Non-Zero Weight
运行中优化	On-The-Fly Optimization
独热向量	One-Hot Vector
开源	Open-Source
开源数据集	Open-Source Dataset
预测值	Predicted Label
预测	Prediction
预测准确率	Prediction Accuracy
预测器/决策函数	Predictor
蛋白折叠	Protein Folding
量子化学	Quantum Chemistry
量子理论	Quantum Theory
随机选择	Random Selection
原始数据集	Raw Datasets
均方根	Root Mean Square Errors
缩放	Scaling
仿真	Simulation
全局最小值	The Global Minimum
图灵测试	Turing Test
版本控制	Version Control
工作流	Workflow
序列-功能	Sequence-Function
