zh	en
连续属性	Continuous Attribute
持续学习	Continuous Learning
连续优化	Continuous Optimization
收缩	Contractive
收缩自编码器	Contractive Autoencoder
收缩神经网络	Contractive Neural Network
对比散度	Contrastive Divergence
控制器	Controller
收敛	Convergence
会话智能体	Conversational Agent
凸优化	Convex Optimization
凸二次规划	Convex Quadratic Programming
凸集	Convex Set
凸性	Convexity
卷积	Convolution
卷积玻尔兹曼机	Convolutional Boltzmann Machine
卷积深度信念网络	Convolutional Deep Belief Network
卷积核	Convolutional Kernel
卷积网络	Convolutional Network
卷积神经网络	Convolutional Neural Network
坐标	Coordinate
坐标上升	Coordinate Ascent
坐标下降	Coordinate Descent
共父	Coparent
语料库	Corpus
相关系数	Correlation
相关系数	Correlation Coefficient
余弦	Cosine
余弦衰减	Cosine Decay
余弦相似度	Cosine Similarity
代价	Cost
代价曲线	Cost Curve
代价函数	Cost Function
代价矩阵	Cost Matrix
代价敏感	Cost-Sensitive
协方差	Covariance
协方差矩阵	Covariance Matrix
协方差RBM	Covariance RBM
协变量偏移	Covariate Shift
覆盖	Coverage
贡献度分配问题	Credit Assignment Problem
准则	Criterion
评论员	Critic
评价网络	Critic Network
临界点	Critical Point
临界温度	Critical Temperatures
互相关	Cross Correlation
交叉熵	Cross Entropy
交叉验证	Cross Validation
交叉熵损失函数	Cross-Entropy Loss Function
众包	Crowdsourcing
累积分布函数	Cumulative Distribution Function
累积函数	Cumulative Function
课程学习	Curriculum Learning
维数灾难	Curse of Dimensionality
曲率	Curvature
曲线拟合	Curve-Fitting
截断点	Cut Point
割平面法	Cutting Plane Algorithm
控制论	Cybernetics
循环学习率	Cyclic Learning Rate
衰减	Damping
阻尼因子	Damping Factor
数据	Data
数据增强	Data Augmentation
数据生成分布	Data Generating Distribution
数据生成过程	Data Generating Process
数据样本	Data Instance
数据挖掘	Data Mining
数据并行	Data Parallelism
数据点	Data Point
数据预处理	Data Preprocessing
数据集	Data Set
数据整理	Data Wrangling
数据集增强	Dataset Augmentation
调试策略	Debugging Strategy
决策边界	Decision Boundary
决策函数	Decision Function
决策树桩	Decision Stump
决策平面	Decision Surface
决策树	Decision Tree
解码器	Decoder
解码	Decoding
分解	Decompose
反卷积	Deconvolution
反卷积网络	Deconvolutional Network
演绎	Deduction
深度信念网络	Deep Belief Network
深度玻尔兹曼机	Deep Boltzmann Machine
深度回路	Deep Circuit
深度卷积生成对抗网络	Deep Convolutional Generative Adversarial Network
