word	raw_rating	conc_aligned
柴火	1.926	4.074
沉迷	3.407	2.593
称霸	3.444	2.556
成绩	2.556	3.444
冲突	3.074	2.926
虫卵	1.889	4.111
存款	1.778	4.222
大意	3.444	2.556
单据	2.444	3.556
淡忘	3.519	2.481
弹药	2.111	3.889
抵赖	3.481	2.519
地图	1.519	4.481
点数	3.040	2.960
胴体	2.880	3.120
恶霸	2.370	3.630
法官	1.654	4.346
仿效	3.481	2.519
绯红	3.296	2.704
肥胖	2.148	3.852
沸腾	2.852	3.148
风情	3.778	2.222
福音	3.615	2.385
府第	2.680	3.320
复仇	3.037	2.963
刚强	3.333	2.667
供奉	3.407	2.593
鼓手	1.852	4.148
灌注	3.385	2.615
诡辩	3.808	2.192
还原	3.720	2.280
毫米	2.333	3.667
壕沟	2.654	3.346
好处	3.444	2.556
好动	3.148	2.852
号角	2.593	3.407
荷花	1.423	4.577
横行	3.640	2.360
红包	1.852	4.148
麾下	3.423	2.577
激动	3.185	2.815
肩头	2.000	4.000
缴税	2.296	3.704
节奏	3.259	2.741
今晚	1.615	4.385
紧凑	3.185	2.815
紧张	3.111	2.889
进贡	2.852	3.148
惊奇	3.000	3.000
就业	2.444	3.556
距离	2.481	3.519
靠山	3.074	2.926
可恨	3.296	2.704
空姐	1.577	4.423
两性	3.111	2.889
潦草	3.308	2.692
临时	3.704	2.296
买家	2.593	3.407
毛孔	1.926	4.074
没法	4.038	1.962
面临	3.593	2.407
面谈	2.704	3.296
苗圃	2.385	3.615
木瓜	1.556	4.444
忸怩	3.542	2.458
品尝	2.963	3.037
屏弃	3.720	2.280
奇艺	3.520	2.480
权衡	3.593	2.407
拳击	2.037	3.963
容器	2.000	4.000
容颜	2.852	3.148
软禁	3.037	2.963
赛跑	1.846	4.154
三国	2.500	3.500
食指	1.519	4.481
仕途	3.111	2.889
手巾	1.889	4.111
手巧	3.481	2.519
手足	2.654	3.346
栓塞	3.042	2.958
松树	1.519	4.481
特色	3.370	2.630
添置	3.115	2.885
铁匠	1.630	4.370
外族	2.852	3.148
吸毒	1.741	4.259
下场	3.444	2.556
下沉	3.185	2.815
逍遥	3.962	2.038
效能	3.577	2.423
循环	3.333	2.667
雅号	3.500	2.500
岩浆	2.154	3.846
眼罩	1.692	4.308
演出	2.259	3.741
引用	3.556	2.444
隐藏	3.000	3.000
有用	3.593	2.407
迂回	3.520	2.480
渊博	3.385	2.615
圆满	3.556	2.444
远古	3.185	2.815
月饼	1.444	4.556
运用	3.333	2.667
杂务	3.074	2.926
占领	3.185	2.815
阵营	2.852	3.148
震撼	3.778	2.222
植物	2.000	4.000
中等	3.148	2.852
中外	3.444	2.556
肿瘤	2.040	3.960
转动	2.885	3.115
庄园	1.963	4.037
自杀	2.148	3.852
走红	3.519	2.481
作品	2.222	3.778
掰开	1.962	4.038
饱和	3.077	2.923
保健	2.962	3.038
必然	2.808	3.192
扁平	2.077	3.923
冰川	1.423	4.577
颤抖	2.423	3.577
陈腐	3.500	2.500
陈列	2.577	3.423
成功	3.462	2.538
弛缓	3.360	2.640
充足	3.192	2.808
出战	2.280	3.720
锄头	1.077	4.923
橱窗	1.077	4.923
揣摩	3.692	2.308
传热	2.960	3.040
蹉跎	3.920	2.080
错失	3.080	2.920
大学	1.680	4.320
档次	3.000	3.000
荡妇	2.538	3.462
到处	3.692	2.308
得到	2.769	3.231
顶替	2.423	3.577
毒药	1.808	4.192
废置	2.480	3.520
芬芳	3.538	2.462
粉饰	3.360	2.640
缝纫	1.885	4.115
干爽	2.808	3.192
公平	3.462	2.538
功能	2.808	3.192
构想	3.808	2.192
姑息	4.077	1.923
骸骨	1.538	4.462
害虫	1.846	4.154
和约	2.385	3.615
回条	3.158	2.842
回信	1.962	4.038
婚宴	1.577	4.423
火腿	1.077	4.923
货币	1.769	4.231
级数	3.167	2.833
家具	1.769	4.231
进账	2.731	3.269
惊慌	3.731	2.269
静音	2.192	3.808
酒量	3.654	2.346
拘泥	3.923	2.077
军事	2.692	3.308
看守	2.880	3.120
客厅	1.500	4.500
离子	3.360	2.640
粒子	3.077	2.923
粮食	1.960	4.040
猎物	2.520	3.480
隆冬	2.960	3.040
鲁钝	3.792	2.208
迷人	3.808	2.192
妙龄	3.280	2.720
摩擦	3.231	2.769
年龄	1.846	4.154
黏性	2.760	3.240
篇幅	3.160	2.840
平原	1.808	4.192
起床	1.769	4.231
器皿	1.923	4.077
曲线	2.615	3.385
娶亲	1.885	4.115
惹事	3.077	2.923
杀气	4.200	1.800
沙石	1.231	4.769
神秘	4.231	1.769
守则	3.038	2.962
受伤	2.308	3.692
双向	3.000	3.000
死者	1.560	4.440
诵读	2.077	3.923
俗气	3.846	2.154
台词	1.846	4.154
摊牌	2.708	3.292
碳酸	2.083	3.917
烫伤	1.885	4.115
逃跑	2.192	3.808
退休	1.962	4.038
拖车	1.423	4.577
脱水	2.385	3.615
外务	3.500	2.500
威风	4.038	1.962
卫冕	2.708	3.292
慰问	2.808	3.192
文士	2.391	3.609
先河	3.304	2.696
相反	2.962	3.038
相扑	1.840	4.160
相同	2.750	3.250
校际	3.429	2.571
谢谢	2.577	3.423
心底	3.792	2.208
信步	3.524	2.476
修理	2.615	3.385
选民	1.923	4.077
仪器	1.731	4.269
银河	2.615	3.385
荧幕	1.846	4.154
雍容	3.846	2.154
由此	3.455	2.545
鱼网	1.192	4.808
遇害	2.269	3.731
冤狱	2.880	3.120
圆形	1.654	4.346
责罚	2.654	3.346
展览	2.077	3.923
找寻	2.680	3.320
征服	3.385	2.615
正门	1.846	4.154
知觉	3.423	2.577
滞留	2.538	3.462
专家	2.346	3.654
宗派	2.692	3.308
罪恶	3.192	2.808
作答	2.680	3.320
座落	2.346	3.654
安抚	3.462	2.538
薄冰	2.192	3.808
宝贝	3.200	2.800
碑文	1.462	4.538
背影	1.692	4.308
兵法	2.808	3.192
剥夺	3.000	3.000
不惜	4.042	1.958
餐饮	2.077	3.923
陈旧	2.769	3.231
撑腰	2.923	3.077
赐教	3.200	2.800
打扮	2.308	3.692
呆滞	2.962	3.038
挡路	2.115	3.885
地契	1.308	4.692
雕琢	2.346	3.654
迭起	3.682	2.318
读书	1.962	4.038
杜绝	2.962	3.038
渡过	3.080	2.920
断交	2.692	3.308
对称	2.154	3.846
鹅蛋	1.115	4.885
恩赐	3.346	2.654
发蜡	1.538	4.462
方式	3.640	2.360
方位	2.885	3.115
芳香	3.038	2.962
分内	3.435	2.565
分神	3.385	2.615
分摊	2.538	3.462
更换	2.462	3.538
公布	2.462	3.538
功率	2.269	3.731
攻打	2.423	3.577
恭候	2.923	3.077
管理	3.192	2.808
光度	3.000	3.000
后退	2.538	3.462
呼喊	1.962	4.038
黄河	1.154	4.846
伙伴	1.962	4.038
极刑	2.800	3.200
减肥	2.731	3.269
见报	2.652	3.348
健忘	2.962	3.038
角色	2.692	3.308
绞刑	1.615	4.385
揭发	2.654	3.346
劫匪	1.538	4.462
结婚	1.654	4.346
金粉	2.000	4.000
纠纷	3.000	3.000
剧烈	3.538	2.462
开胃	3.115	2.885
空气	2.115	3.885
狼狗	1.154	4.846
