token,count
勒,27270
坚,27245
词,27240
孙,27188
呆,27151
偷,27125
选,27125
讨,27041
替,26997
层,26918
良,26845
际,26834
绿,26806
尚,26738
器,26735
隐,26721
概,26670
镇,26575
旅,26523
导,26514
拍,26501
弹,26496
广,26375
犯,26305
革,26215
狂,26095
设,26051
抽,26015
联,26011
境,25990
淡,25891
吹,25842
股,25831
浪,25764
郎,25732
临,25711
登,25701
碰,25640
卫,25604
妙,25565
骨,25563
姓,25494
智,25477
糊,25447
胸,25406
菜,25358
朗,25311
冰,25271
圆,25213
森,25176
较,25160
级,25123
盘,25119
宫,25076
划,25040
刘,25033
价,25011
握,25000
童,24981
律,24908
质,24823
躺,24806
凤,24756
专,24683
宁,24660
适,24631
宗,24577
置,24476
属,24408
状,24307
庭,24190
迪,24162
值,24141
爹,24127
莉,24110
虑,24071
缓,24025
束,24001
鼓,23978
禁,23969
球,23957
徒,23904
休,23886
乔,23883
洞,23803
尖,23788
蓝,23768
秀,23757
博,23727
君,23709
柔,23688
鼻,23682
鸡,23635
堆,23614
劲,23561
虚,23536
悄,23441
负,23395
餐,23369
遍,23366
叔,23347
腰,23344
冒,23303
椅,23241
付,23198
孔,23183
珠,23139
忆,23085
朱,23073
吴,22955
规,22953
奔,22942
康,22896
眉,22889
党,22888
欲,22783
户,22769
挥,22751
府,22742
湖,22710
扬,22703
折,22626
归,22470
壁,22361
诚,22351
麦,22303
魂,22301
帽,22277
混,22271
尊,22259
曼,22155
欧,22151
蛋,22138
投,22125
铺,22086
硬,22078
粗,22075
圈,22061
预,22057
释,22052
毕,22039
拜,21993
漂,21980
鲜,21964
鸟,21883
毒,21867
弱,21858
暴,21786
借,21757
凡,21738
迎,21738
泰,21695
雄,21694
勇,21628
磨,21561
县,21535
宽,21527
俩,21515
迹,21490
吓,21470
验,21405
镜,21358
枝,21317
避,21293
职,21268
探,21194
鞋,21128
凉,21125
荣,21114
乌,21072
速,20980
遗,20965
委,20944
巧,20936
缺,20934
采,20919
标,20883
卷,20881
爬,20843
赛,20732
厌,20717
阶,20711
尤,20701
晨,20678
猛,20663
创,20652
彼,20633
彩,20593
偏,20591
犹,20565
赵,20512
羊,20452
资,20450
批,20427
疯,20393
著,20340
环,20334
妮,20305
挺,20272
莎,20257
厉,20205
素,20172
组,20124
亡,20049
冬,19977
巨,19974
赞,19926
施,19919
败,19865
轮,19859
财,19848
危,19810
牌,19810
惯,19766
困,19753
杰,19674
辈,19661
厚,19627
材,19623
拥,19575
唐,19563
隔,19535
软,19532
宣,19513
例,19431
佩,19374
射,19374
纯,19363
案,19347
岛,19289
汽,19220
舒,19195
附,19183
净,19161
孤,19094
含,19086
闭,19078
胆,19046
韦,19032
席,19017
舍,19012
泥,19008
荡,19002
州,18990
寒,18984
丹,18982
扎,18922
嘛,18896
娃,18871
杜,18861
伴,18836
谷,18830
判,18805
番,18797
略,18771
误,18748
述,18697
昨,18679
臂,18649
抗,18614
昏,18590
暖,18534
抖,18368
瑞,18341
营,18331
碎,18301
互,18288
练,18243
滚,18171
醉,18030
扑,18003
哩,17985
谓,17980
省,17976
猫,17972
坦,17929
灭,17915
弯,17895
残,17888
岸,17844
穷,17812
郭,17803
黎,17782
珍,17773
咬,17718
剩,17709
私,17672
燕,17670
仰,17638
擦,17623
丢,17618
育,17614
肚,17606
虎,17577
琴,17563
稍,17536
竹,17520
帕,17519
插,17489
耶,17435
陪,17431
移,17426
桥,17425
漫,17408
唯,17349
唇,17328
横,17308
敲,17282
弃,17279
挑,17251
愤,17240
赫,17217
猜,17214
莲,17188
沿,17183
颜,17183
闲,17179
补,17127
菲,17101
获,17094
忧,17091
配,17089
升,17072
哦,17046
魔,17042
荒,17017
搞,17011
匆,17010
滑,17009
晃,16991
票,16976
厂,16965
箱,16962
飘,16949
躲,16944
超,16929
震,16915
挤,16868
撒,16790
吐,16787
奋,16781
研,16762
拖,16735
迫,16724
辆,16706
攻,16702
编,16662
遭,16659
苍,16627
碗,16593
猪,16577
迟,16554
晓,16552
仇,16542
供,16539
固,16534
凯,16497
惜,16426
尾,16376
仁,16369
烂,16314
艾,16303
评,16293
瓶,16198
贴,16195
傻,16163
盛,16160
货,16122
狠,16079
匹,16054
缘,16036
寂,15992
恋,15982
典,15925
吻,15903
防,15860
摩,15845
俗,15837
纷,15799
洁,15774
粉,15762
伟,15758
织,15665
仙,15651
忠,15650
浮,15648
汗,15647
执,15637
监,15613
垂,15517
壮,15515
汤,15511
抢,15468
优,15423
颗,15422
慰,15387
颤,15347
腾,15334
凭,15315
范,15302
累,15297
闷,15283
赏,15201
梯,15182
甲,15164
溜,15147
撞,15144
介,15143
舅,15129
仆,15117
勃,15106
夹,15082
恼,15075
占,15074
征,15058
貌,15016
井,15003
聚,15000
侧,14984
扔,14978
兹,14969
庆,14963
瘦,14933
健,14904
督,14863
限,14854
谋,14834
吕,14808
季,14791
亦,14755
库,14754
诸,14752
裤,14737
恰,14724
偶,14689
骗,14663
哀,14655
绪,14630
聪,14616
膀,14598
译,14592
薄,14582
途,14576
愈,14575
努,14550
慌,14537
丰,14523
乘,14502
秦,14461
柳,14459
陷,14448
寄,14397
怨,14380
耐,14303
隆,14293
脖,14266
豆,14252
丧,14244
拳,14242
伏,14240
盯,14235
劝,14228
钻,14167
卢,14165
触,14158
脏,14157
厨,14126
昂,14091
幻,14072
积,14070
坡,14063
倾,14061
湿,14038
尸,14030
搬,13996
末,13982
氏,13966
惧,13901
录,13872
炉,13872
豪,13844
享,13829
课,13828
糟,13814
斜,13803
搭,13797
幽,13789
版,13781
缝,13756
奴,13727
狱,13718
涂,13685
瓜,13654
焦,13608
缩,13579
扭,13578
济,13563
扫,13522
绕,13502
潮,13473
埋,13464
胖,13450
益,13429
皱,13377
降,13356
迅,13341
啥,13276
侍,13270
凶,13265
效,13265
仔,13252
饰,13250
沈,13224
描,13203
聊,13202
尘,13200
璃,13189
柜,13184
夺,13175
俄,13148
哼,13144
玻,13138
惨,13128
纵,13096
洲,13095
敏,13048
增,13037
技,13009
奈,12990
辛,12969
忌,12926
跃,12905
逐,12880
峰,12869
辞,12865
逼,12865
毁,12825
扇,12808
羞,12801
胳,12798
凝,12768
绳,12741
针,12725
丛,12702
挣,12657
拒,12638
挨,12623
悔,12577
炮,12555
嫂,12552
码,12546
牢,12545
访,12535
紫,12531
抵,12472
狐,12414
衫,12413
零,12410
雾,12400
稳,12347
沃,12319
浑,12303
旦,12272
踏,12267
废,12264
疼,12258
吵,12239
幕,12224
嘉,12205
浓,12205
喂,12204
检,12192
额,12186
窝,12165
乃,12154
睁,12134
掩,12093
唤,12088
桑,12083
虫,12065
项,12055
呵,12046
愁,12034
拾,12017
扶,12011
墨,12010
梁,11971
延,11970
涌,11970
嫁,11965
墓,11958
熊,11855
疲,11849
狼,11840
型,11830
饿,11810
愉,11805
拔,11784
戈,11768
迈,11768
甜,11745
吟,11732
扯,11723
屁,11718
丑,11711
徐,11665
递,11663
奏,11626
鸣,11613
嗯,11609
川,11582
惑,11567
苔,11559
廊,11556
炸,11546
慧,11537
津,11537
训,11524
桃,11511
卧,11506
欣,11505
滴,11473
悉,11463
旗,11447
锁,11439
笼,11430
霍,11430
辱,11427
旋,11413
袖,11413
牧,11411
宜,11378
赖,11373
操,11360
嚷,11344
抚,11337
瞪,11310
肥,11309
择,11251
屈,11225
膊,11222
铃,11219
堡,11216
源,11199
授,11198
誉,11185
锅,11165
辩,11154
载,11132
伍,11125
尿,11111
猎,11102
扮,11097
噢,11076
钢,11073
审,11061
仪,11059
郁,11054
献,11048
奉,11032
筑,11031
阔,11022
傲,11009
矮,10991
慈,10926
芳,10914
姨,10912
肃,10907
幅,10890
佳,10878
牲,10840
款,10834
绍,10830
唉,10828
吾,10827
挡,10827
荷,10811
暂,10801
臣,10762
稿,10714
慕,10686
哲,10676
拼,10667
测,10663
尺,10646
尝,10645
盆,10643
腊,10642
恭,10621
泽,10617
舌,10609
铜,10609
姿,10597
洪,10588
控,10567
茨,10554
瑟,10553
稀,10537
臭,10527
构,10475
寺,10469
颇,10459
甫,10454
吞,10423
殿,10415
甘,10411
捉,10395
岂,10389
棵,10373
蛇,10372
祝,10357
韩,10315
抛,10297
饮,10278
裂,10275
岳,10249
耀,10242
瞎,10198
阻,10186
戒,10182
赤,10182
咖,10174
跪,10169
汪,10164
率,10156
鼠,10154
扣,10138
邻,10133
牵,10122
匠,10121
彻,10104
愚,10102
琳,10085
歇,10081
孟,10060
宿,10058
染,10051
抹,10046
兽,10044
盒,10037
裙,10037
啡,10026
喘,10002
池,9997
网,9994
损,9988
映,9972
帐,9967
堪,9912
披,9910
燃,9886
浅,9869
欺,9860
誓,9816
缠,9805
恢,9802
倘,9780
罩,9778
柴,9731
翼,9714
详,9691
拐,9673
亨,9670
狄,9663
祥,9650
宾,9646
渴,9642
耻,9641
崇,9628
吊,9600
葛,9586
谅,9584
齿,9573
掏,9572
距,9571
沟,9569
驶,9565
括,9523
冯,9520
巾,9518
桂,9499
茫,9498
膝,9497
予,9477
捕,9474
割,9442
秉,9441
阅,9433
阁,9417
乏,9415
悠,9414
宋,9402
蠢,9392
祷,9360
促,9359
租,9345
径,9340
郑,9339
喃,9338
鹿,9308
挖,9253
柱,9246
昆,9236
芬,9230
遮,9222
宇,9217
弥,9213
哎,9203
脆,9203
贫,9200
鞭,9182
泉,9176
刷,9166
庙,9159
踪,9158
耸,9151
刑,9144
策,9133
蓉,9108
杆,9107
序,9101
疾,9084
俺,9078
惠,9071
喷,9046
酸,9024
咕,9007
卑,9002
泡,8995
悦,8981
霜,8946
减,8931
穴,8922
赌,8921
亭,8910
嗓,8904
截,8897
启,8894
腔,8874
栏,8869
摔,8845
棉,8823
柯,8811
纹,8810
酷,8807
串,8794
翠,8790
返,8773
幼,8770
盗,8768
袍,8730
蜜,8724
仗,8718
灾,8703
肤,8699
遥,8692
媳,8684
娅,8674
粮,8657
允,8651
棍,8641
污,8638
漠,8633
龄,8633
衬,8631
雕,8618
杏,8612
柏,8599
凑,8583
勾,8571
漆,8563
棒,8532
罚,8520
咐,8517
曰,8513
糖,8512
亏,8501
懒,8474
歪,8455
辉,8454
菊,8439
佐,8434
邦,8433
咽,8431
协,8429
驴,8427
剪,8421
痕,8415
脾,8413
逊,8413
僧,8410
轰,8386
肠,8384
敦,8367
贼,8362
夸,8360
爆,8359
岩,8338
