token,count
地下,7166
呵,7155
回忆,7153
有没有,7153
硬,7145
缓缓,7136
怎,7135
雨,7125
亮,7122
兴趣,7120
哪个,7108
那人,7106
有着,7088
惊讶,7084
同学,7081
凭,7071
出门,7068
天气,7068
好处,7066
有趣,7063
记忆,7037
道路,7022
公爵,7021
一部分,7017
大哥,7008
一对,7007
注视,6998
抢,6996
仆人,6994
师父,6988
看法,6984
迅速,6977
胜利,6973
组织,6972
一套,6957
呼吸,6955
底下,6954
几句,6953
夫妇,6952
位置,6945
晓得,6916
一名,6913
大夫,6908
指着,6906
政府,6906
喝酒,6904
农民,6895
丝毫,6889
内容,6889
认真,6886
莫,6881
刘,6880
亨利,6878
身旁,6878
倘若,6864
享受,6863
死去,6861
赶紧,6861
吴,6846
拖,6833
教授,6831
劝,6820
男,6820
主任,6819
宗教,6819
能力,6808
当中,6807
烧,6803
事实上,6802
余,6801
曰,6791
本书,6791
拥有,6783
方,6779
夜晚,6778
向前,6773
城,6766
贵族,6763
浑身,6748
记,6746
干净,6745
式,6744
吩咐,6719
一顿,6718
同情,6711
碰,6698
半天,6690
要说,6688
罗马,6683
法律,6679
弟弟,6676
神秘,6674
苦,6664
碰到,6661
送给,6659
头脑,6658
气味,6650
和尚,6646
作用,6642
造成,6640
领,6636
假,6633
插,6608
腰,6608
一路,6607
求,6607
错误,6599
一回,6596
兵,6590
摇,6586
讨论,6586
大笑,6578
现实,6575
说法,6566
一辈子,6562
万,6542
似,6540
车子,6538
晚,6537
目前,6537
停止,6528
坚持,6526
关,6522
收拾,6521
房里,6519
影子,6493
文字,6491
几年,6487
尔,6485
电影,6478
据说,6474
地面,6470
什么样,6465
亲自,6450
士兵,6438
明显,6436
解决,6436
从此,6433
名,6433
没想到,6430
未来,6429
走上,6428
窗外,6409
病人,6404
眼里,6399
不由得,6396
套,6390
只得,6389
念头,6387
允许,6385
塞,6381
掏出,6363
当作,6361
六,6346
陈,6343
不时,6333
七,6324
隔,6304
一身,6287
决不,6286
件,6280
创造,6274
颇,6273
伤心,6271
神父,6260
得意,6256
建议,6243
放弃,6233
搭,6229
保证,6228
挤,6226
责任,6224
村,6217
发表,6216
状态,6215
过程,6212
猪,6211
人人,6206
吃惊,6202
屁股,6198
利用,6193
怀里,6190
强,6187
打电话,6186
右手,6179
尸体,6175
短,6174
感,6171
这一,6162
大厅,6160
收,6158
取,6157
性,6153
月亮,6150
喊道,6144
事件,6140
价值,6138
军队,6138
大街,6132
对着,6131
这事,6118
花园,6102
苔,6095
安全,6093
经,6093
总之,6092
失望,6091
到达,6087
街道,6087
秀,6078
安静,6077
以外,6076
动手,6073
颤抖,6062
种,6055
想不到,6042
讲话,6040
随,6039
对付,6035
草,6030
火车,6026
提起,6014
苏格拉底,6014
手臂,6008
在家,6007
转过,6007
商量,6004
夹,6003
必,6003
不曾,6002
情景,6002
赶快,5995
民族,5990
娶,5986
用不着,5986
红色,5984
雪,5983
性格,5980
某些,5978
一向,5971
今晚,5958
处理,5954
队伍,5954
面包,5950
称,5945
树林,5938
达到,5936
空中,5933
博士,5928
原谅,5923
左手,5923
身份,5919
某,5914
程度,5910
握,5908
男孩,5908
暖,5907
冬天,5894
叫做,5893
一篇,5891
接近,5887
玛丽,5878
云,5865
抬头,5862
勉强,5861
跟前,5856
片刻,5853
犯,5850
流,5845
绝望,5842
重复,5840
极了,5838
半个,5835
老实,5832
包,5830
铁,5830
弟子,5823
联系,5823
伤,5818
托,5817
一丝,5816
抬,5816
一齐,5813
轻,5810
想想,5808
形象,5800
旅行,5800
饭店,5800
彻底,5795
德国,5795
提供,5787
神色,5783
意,5781
没法,5779
片,5774
轻轻地,5772
这边,5769
某个,5765
何况,5755
差,5755
负责,5754
面孔,5754
两天,5747
女孩子,5747
年龄,5741
楼梯,5737
客气,5731
紧,5731
当真,5730
群众,5721
从未,5719
小鱼儿,5717
夫,5709
据,5705
春天,5702
一部,5700
心头,5697
追,5696
思考,5695
原,5688
一夜,5687
有所,5685
笑声,5685
大师,5678
转过身,5669
洞,5664
走向,5662
正确,5661
立,5658
打听,5657
从来不,5656
女性,5656
怎么回事,5654
严重,5650
暂时,5650
这场,5649
感受,5648
正如,5648
缘故,5644
控制,5639
一杯,5631
走廊,5626
条件,5621
铺,5620
极其,5619
难过,5608
偷,5604
远远,5604
请求,5601
勇敢,5594
无论如何,5585
偶尔,5575
飞机,5575
借,5569
冷笑,5569
哟,5569
镜子,5565
随时,5559
情,5556
哪怕,5549
吐,5548
平常,5547
总算,5538
一处,5536
河,5533
招呼,5532
菜,5532
感动,5529
决心,5528
战斗,5524
